file_name,center_temp,max_temp,min_temp
DIVU20240822145836_jpeg.rf.9c8cc20f71392d24ff5dbfbc00ce7cb9.jpg,30.9,35.3,29
DIVU20240822151334_jpeg.rf.fce1fbd5f06662a9d7be8e68a6ac2f71.jpg,35.6,47.1,30.5
DIVU20240905103923_jpeg.rf.143cc24dba3882fa37164d4604ed1c94.jpg,29.5,31.5,29.1
DIVU20240905125543_jpeg.rf.3182fae78cf3ddccd8733301012c1ce9.jpg,32.9,35.5,29
DIVU20240905172412_jpeg.rf.c631e02de7408d5238d9473f60cbe519.jpg,32.3,36.8,31.1
DIVU20240912113354_jpeg.rf.77a151e53be16ca10e90405dd2db60c8.jpg,34.5,41.57,31.1
DIVU20240912120003_jpeg.rf.76d3094b4ec084568ee55274384abf4c.jpg,,54.6,27.4
DIVU20240912124409_jpeg.rf.9bff2d07b701a52e0a8936502d162af1.jpg,33.3,49.2,30.3
DIVU20240912141746_jpeg.rf.7b8eded4dc059cb120703c6106510356.jpg,41.9,64.9,23.5
DIVU20240912173135_jpeg.rf.81bd5768dfb08c57801419a6077498a7.jpg,,37.3,31.9
IR_28765_jpg.rf.cf87d3cbffbd4f9c5f3f328dc8bd6024.jpg,31.4,31.4,22.5
IR_30627_jpg.rf.b6fdac4897834c8dceed8eb8279f72e5.jpg,71.1,71.1,28.4
IR_30629_jpg.rf.f282f3d28844ac9612784f5f7207690d.jpg,59,59,29.3
IR_30631_jpg.rf.40af37bb24ba4ee99bc9caf564e9532f.jpg,45.5,45.5,31.6
IR_30635_jpg.rf.c6140e5f94f7bc2d07b6d85989e325e3.jpg,44.5,44.5,30.3
IR_30645_jpg.rf.61317258de098efb35ddcd5c782371df.jpg,47.1,47.1,34.5
IR_30681_jpg.rf.11ca0cd5cd3c9eabc9a145f4f3ba3f46.jpg,38.1,56.3,34.3
IR_30711_jpg.rf.ae2bc39c93fe1f3e39d5fd30548d4645.jpg,36.4,43.5,31.5
IR_30896_jpg.rf.c2d0b1beef0c18a66132dbac7ae30a6d.jpg,46.9,58,32.6
IR_30900_jpg.rf.e5f1d108eb524a6d6bd14d50a6c0471b.jpg,46.9,59.3,30
IR_30922_jpg.rf.e13ddf9c40ff48774485cd24ce737f16.jpg,54.3,54.3,29.6
IR_30942_jpg.rf.a71e96345b1a7eec47da2b6f2b3d97ca.jpg,58,51.7,31.2
IR_30956_jpg.rf.0b0c5c71559b63b9b9224f5902a3ad4f.jpg,35,35,28.6
IR_30972_jpg.rf.4abab21d029f3d8fdbfcc9cb5606b812.jpg,50,50,30.6
IR_30984_jpg.rf.f02c8d26ba508ed2381e76d45d88012f.jpg,50.9,62.4,31.2
IR_30992_jpg.rf.33c9b06bff8d2485a81958907dd34be9.jpg,50.8,51,33.4
IR_31016_jpg.rf.675839e5f76b924bdc474d7b86dfced3.jpg,45,45,30.6
IR_31046_jpg.rf.b5ebb208f33cf1d063607204167f9e79.jpg,40,40,30.9
IR_31054_jpg.rf.6e2124b410a6413d83827b421bb877a6.jpg,45,45.7,32.4
IR_31106_jpg.rf.b74d74058024c5f2564c298d68597503.jpg,,,28.3
SLOGF20241107104215_jpeg.rf.2bedbe47296dff825dd23cfad2a8b77e.jpg,42.6,55.7,610.93
SLOGF20241107105111_jpeg.rf.c08a99ec07368f1e1d50649644a1396e.jpg,,,29.6
SLOGF20241107114912_jpeg.rf.4a14777a0d788d722a2e272de2b822fa.jpg,38.3,51.1,50.93
SLOGF20241107122048_jpeg.rf.ba4f7fcd9a141c77ca7c657ba0407893.jpg,35.8,45.6,10.93
SLOGF20241107141545_jpeg.rf.dba4d543afb83dc9de59137deda5a30b.jpg,,,21.9
SLOGF20241107144027_jpeg.rf.5177d3eef12832c5b386ae6c846ae2b8.jpg,,,
SLOGF20241107150203_jpeg.rf.4694d6a83bf569415fd437dd87aeb6ec.jpg,,,
SLOGF20241107150632_jpeg.rf.07694478da0ca59896a34c08952f0d36.jpg,36,38.6,0.93
SLOGF20241107151449_jpeg.rf.c9b815981eeaecc3a1abb9b48cb1e8e3.jpg,30.8,37.6,10.93
SLOGF20241107154527_jpeg.rf.ced4fc28091b9fa6e2e0b6e4d31be10e.jpg,,,33.9
SLOGF20241107154824_jpeg.rf.a4167b6ea082c5b7358bf9160d99cc5c.jpg,29.9,37.8,0.93
SLOGF20241107165820_jpeg.rf.1d9c9282b46474a37bdc469db6d4316e.jpg,38.3,59.4,20.93
SLOGF20241122145940_jpeg.rf.085bb3bb8147135dee08e24433e68a37.jpg,29.7,32.1,
SLOGF20241126110934_jpeg.rf.6f3ac4e62105ed46d3d6a3b3ddf0fd49.jpg,33.4,58.3,810.93
SLOGF20241126121540_jpeg.rf.f9cc425923fa442be98e3d7c1588e38a.jpg,29.6,36.3,0.93
SLOGF20241126122633_jpeg.rf.3cd61755806181bd50376c6b6941339a.jpg,35.4,57.5,0.93
SLOGF20241126123836_jpeg.rf.192f9df0090d038f42c69133789653d3.jpg,30.7,41.5,0.93
SLOGF20241126143657_jpeg.rf.9f2780aab44f22dde3c9fa673c0273d2.jpg,31.3,52.4,10.93
SLOGF20241126160316_jpeg.rf.aa314863418f1b3d65130444d9286658.jpg,26.3,30.1,0.93
SLOGF20241127091922_jpeg.rf.67206f0b1328418d8426ac77badab90b.jpg,30.4,47.3,0.93
SLOGF20241127094240_jpeg.rf.4512dbbc364f0d9e5024ed38277cd872.jpg,33.5,56.7,0.93
SLOGF20241127121444_jpeg.rf.f6422e6008fe490a702a8d15bd12b249.jpg,24,,0.93
SLOGF20241127122610_jpeg.rf.88280202e15baec07902eee34c40247f.jpg,25.8,38.2,0.93
SLOGF20241127125300_jpeg.rf.7acecfbb816a1b0c975c8d6eb2d306e1.jpg,26.7,48.6,810.93
SLOGF20241127133142_jpeg.rf.ce8f8dded494bb48e4c48e5bf386e954.jpg,29.5,35.5,0.93
